in s,C1 in V
-2.0314320E+00,1.25488E-01
-2.0314008E+00,1.32324E-01
-2.0313696E+00,1.36230E-01
-2.0313384E+00,1.39160E-01
-2.0313072E+00,1.37207E-01
-2.0312760E+00,1.39160E-01
-2.0312448E+00,1.39160E-01
-2.0312136E+00,1.39160E-01
-2.0311824E+00,1.43066E-01
-2.0311512E+00,1.43066E-01
-2.0311200E+00,1.43066E-01
-2.0310888E+00,1.42090E-01
-2.0310576E+00,1.45020E-01
-2.0310264E+00,1.45020E-01
-2.0309952E+00,1.43066E-01
-2.0309640E+00,1.45020E-01
-2.0309328E+00,1.46973E-01
-2.0309016E+00,1.45996E-01
-2.0308704E+00,1.45020E-01
-2.0308392E+00,1.40137E-01
-2.0308080E+00,1.40137E-01
-2.0307768E+00,1.41113E-01
-2.0307456E+00,1.43066E-01
-2.0307144E+00,1.37207E-01
-2.0306832E+00,1.43066E-01
-2.0306520E+00,1.36230E-01
-2.0306208E+00,1.38184E-01
-2.0305896E+00,1.35254E-01
-2.0305584E+00,1.39160E-01
-2.0305272E+00,1.38184E-01
-2.0304960E+00,1.31348E-01
-2.0304648E+00,1.31348E-01
-2.0304336E+00,1.27441E-01
-2.0304024E+00,1.26465E-01
-2.0303712E+00,1.26465E-01
-2.0303400E+00,1.23535E-01
-2.0303088E+00,1.21582E-01
-2.0302776E+00,1.19629E-01
-2.0302464E+00,1.22559E-01
-2.0302152E+00,1.19629E-01
-2.0301840E+00,1.18652E-01
-2.0301528E+00,1.18652E-01
-2.0301216E+00,1.14746E-01
-2.0300904E+00,1.19629E-01
-2.0300592E+00,1.11816E-01
-2.0300280E+00,1.07910E-01
-2.0299968E+00,1.09863E-01
-2.0299656E+00,1.09863E-01
-2.0299344E+00,1.05957E-01
-2.0299032E+00,1.03027E-01
-2.0298720E+00,1.01074E-01
-2.0298408E+00,1.01074E-01
-2.0298096E+00,1.02051E-01
-2.0297784E+00,9.81445E-02
-2.0297472E+00,9.61914E-02
-2.0297160E+00,9.32617E-02
-2.0296848E+00,9.22852E-02
-2.0296536E+00,8.83789E-02
-2.0296224E+00,8.74023E-02
-2.0295912E+00,8.74023E-02
-2.0295600E+00,8.34961E-02
-2.0295288E+00,8.15430E-02
-2.0294976E+00,8.25195E-02
-2.0294664E+00,7.86133E-02
-2.0294352E+00,7.86133E-02
-2.0294040E+00,7.47070E-02
-2.0293728E+00,7.27539E-02
-2.0293416E+00,7.27539E-02
-2.0293104E+00,7.17773E-02
-2.0292792E+00,6.88477E-02
-2.0292480E+00,6.49414E-02
-2.0292168E+00,6.49414E-02
-2.0291856E+00,6.10352E-02
-2.0291544E+00,6.20117E-02
-2.0291232E+00,5.81055E-02
-2.0290920E+00,5.51758E-02
-2.0290608E+00,5.81055E-02
-2.0290296E+00,5.41992E-02
-2.0289984E+00,5.41992E-02
-2.0289672E+00,5.41992E-02
-2.0289360E+00,5.12695E-02
-2.0289048E+00,5.02930E-02
-2.0288736E+00,4.54102E-02
-2.0288424E+00,4.83398E-02
-2.0288112E+00,4.05273E-02
-2.0287800E+00,4.24805E-02
-2.0287488E+00,3.85742E-02
-2.0287176E+00,3.85742E-02
-2.0286864E+00,3.66211E-02
-2.0286552E+00,3.75977E-02
-2.0286240E+00,3.85742E-02
-2.0285928E+00,3.27148E-02
-2.0285616E+00,3.46680E-02
-2.0285304E+00,2.78320E-02
-2.0284992E+00,2.78320E-02
-2.0284680E+00,2.58789E-02
-2.0284368E+00,2.39258E-02
-2.0284056E+00,2.49023E-02
-2.0283744E+00,2.39258E-02
-2.0283432E+00,2.58789E-02
-2.0283120E+00,2.00195E-02
-2.0282808E+00,2.09961E-02
-2.0282496E+00,2.00195E-02
-2.0282184E+00,1.61133E-02
-2.0281872E+00,1.51367E-02
-2.0281560E+00,2.09961E-02
-2.0281248E+00,1.80664E-02
-2.0280936E+00,2.19727E-02
-2.0280624E+00,2.19727E-02
-2.0280312E+00,2.00195E-02
-2.0280000E+00,2.58789E-02
-2.0279688E+00,1.80664E-02
